V1 V2 V3 V4
thetao_Omon_BCC-CSM2-MR_ssp126_r1i1p1f1_gn_209501-210012.nc http://cmip.bcc.cma.cn/thredds/fileServer/cmip6_data/ScenarioMIP/BCC/BCC-CSM2-MR/ssp126/r1i1p1f1/Omon/thetao/gn/v20190319/thetao_Omon_BCC-CSM2-MR_ssp126_r1i1p1f1_gn_209501-210012.nc SHA256 f72fb35541c2685ee2cba9e515f9864f95e0f0442e390117e010216711faf48e
thetao_Omon_BCC-CSM2-MR_ssp245_r1i1p1f1_gn_209501-210012.nc http://cmip.bcc.cma.cn/thredds/fileServer/cmip6_data/ScenarioMIP/BCC/BCC-CSM2-MR/ssp245/r1i1p1f1/Omon/thetao/gn/v20190319/thetao_Omon_BCC-CSM2-MR_ssp245_r1i1p1f1_gn_209501-210012.nc SHA256 5233ef7105037f6234713a1f5bffc4eb1a81ef4db0f06283b507adaa11cc9fb4
thetao_Omon_BCC-CSM2-MR_ssp370_r1i1p1f1_gn_209501-210012.nc http://cmip.bcc.cma.cn/thredds/fileServer/cmip6_data/ScenarioMIP/BCC/BCC-CSM2-MR/ssp370/r1i1p1f1/Omon/thetao/gn/v20190319/thetao_Omon_BCC-CSM2-MR_ssp370_r1i1p1f1_gn_209501-210012.nc SHA256 df67de095024af28642fcbb9fb519134220ecec032ff45b9188ec2a3b4d94d74
thetao_Omon_BCC-CSM2-MR_ssp585_r1i1p1f1_gn_209501-210012.nc http://cmip.bcc.cma.cn/thredds/fileServer/cmip6_data/ScenarioMIP/BCC/BCC-CSM2-MR/ssp585/r1i1p1f1/Omon/thetao/gn/v20190319/thetao_Omon_BCC-CSM2-MR_ssp585_r1i1p1f1_gn_209501-210012.nc SHA256 82b395c232d8069fc020d54086c744180675f458b62befeca5eef0373dfa81ba
thetao_Omon_FGOALS-f3-L_ssp126_r1i1p1f1_gn_206501-210012.nc http://esg.lasg.ac.cn/thredds/fileServer/esg_dataroot/CMIP6/ScenarioMIP/CAS/FGOALS-f3-L/ssp126/r1i1p1f1/Omon/thetao/gn/v20191012/thetao_Omon_FGOALS-f3-L_ssp126_r1i1p1f1_gn_206501-210012.nc SHA256 c217128cec9ca1a4cf0aae020a564a6cf5d113e2a627b13807144bdb5112299d
thetao_Omon_FGOALS-f3-L_ssp585_r1i1p1f1_gn_206501-210012.nc http://esg.lasg.ac.cn/thredds/fileServer/esg_dataroot/CMIP6/ScenarioMIP/CAS/FGOALS-f3-L/ssp585/r1i1p1f1/Omon/thetao/gn/v20191012/thetao_Omon_FGOALS-f3-L_ssp585_r1i1p1f1_gn_206501-210012.nc SHA256 98a74a7c7049cb0276e24dff57f5a8d87a157b48ab17631fefb3f15c5f9bd179
thetao_Omon_CanESM5_ssp119_r1i1p1f1_gn_209101-210012.nc http://crd-esgf-drc.ec.gc.ca/thredds/fileServer/esgD_dataroot/AR6/CMIP6/ScenarioMIP/CCCma/CanESM5/ssp119/r1i1p1f1/Omon/thetao/gn/v20190429/thetao_Omon_CanESM5_ssp119_r1i1p1f1_gn_209101-210012.nc SHA256 261e3cdb625b84a40f156ffa5363643a9f11c9c6866b002015292322e16a4b49
thetao_Omon_CanESM5_ssp126_r1i1p1f1_gn_209101-210012.nc http://crd-esgf-drc.ec.gc.ca/thredds/fileServer/esgD_dataroot/AR6/CMIP6/ScenarioMIP/CCCma/CanESM5/ssp126/r1i1p1f1/Omon/thetao/gn/v20190429/thetao_Omon_CanESM5_ssp126_r1i1p1f1_gn_209101-210012.nc SHA256 1fc391cb814c280ec9bfd9e27420c4988bb3d79e295c33429eeba71021d1534b
thetao_Omon_CanESM5_ssp245_r1i1p1f1_gn_209101-210012.nc http://crd-esgf-drc.ec.gc.ca/thredds/fileServer/esgD_dataroot/AR6/CMIP6/ScenarioMIP/CCCma/CanESM5/ssp245/r1i1p1f1/Omon/thetao/gn/v20190429/thetao_Omon_CanESM5_ssp245_r1i1p1f1_gn_209101-210012.nc SHA256 6612c6d7e7a67e6d3177baa106981a7e51d15a95e70c748371beeafc2bc115ce
thetao_Omon_CanESM5_ssp370_r1i1p1f1_gn_209101-210012.nc http://crd-esgf-drc.ec.gc.ca/thredds/fileServer/esgD_dataroot/AR6/CMIP6/ScenarioMIP/CCCma/CanESM5/ssp370/r1i1p1f1/Omon/thetao/gn/v20190429/thetao_Omon_CanESM5_ssp370_r1i1p1f1_gn_209101-210012.nc SHA256 3279931d72a19f7fbb713e78e00016a3679b6972745bca9801f5bd683a23a755
