V1 V2 V3 V4
o2_Oyr_NorESM2-LM_ssp245_r1i1p1f1_gn_2091-2100.nc http://noresg.nird.sigma2.no/thredds/fileServer/esg_dataroot/cmor/CMIP6/ScenarioMIP/NCC/NorESM2-LM/ssp245/r1i1p1f1/Oyr/o2/gn/v20191108/o2_Oyr_NorESM2-LM_ssp245_r1i1p1f1_gn_2091-2100.nc SHA256 5d66bcf501954569007ab5a5a193e1f25dbd4ac5937c1aa6d9ec62a2b29b8e5e
o2_Oyr_NorESM2-LM_ssp245_r1i1p1f1_gr_2091-2100.nc http://noresg.nird.sigma2.no/thredds/fileServer/esg_dataroot/cmor/CMIP6/ScenarioMIP/NCC/NorESM2-LM/ssp245/r1i1p1f1/Oyr/o2/gr/v20191108/o2_Oyr_NorESM2-LM_ssp245_r1i1p1f1_gr_2091-2100.nc SHA256 b7e31561508c36b1d1085f3d83e15716a78bcacf157e11e19b441795b1a66e84
o2_Oyr_NorESM2-LM_ssp370_r1i1p1f1_gn_2091-2100.nc http://noresg.nird.sigma2.no/thredds/fileServer/esg_dataroot/cmor/CMIP6/ScenarioMIP/NCC/NorESM2-LM/ssp370/r1i1p1f1/Oyr/o2/gn/v20191108/o2_Oyr_NorESM2-LM_ssp370_r1i1p1f1_gn_2091-2100.nc SHA256 2e52f43c3600c120c7729facd3365653103f5e4d0a27c186ffca390d37deecd8
o2_Oyr_NorESM2-LM_ssp370_r1i1p1f1_gr_2091-2100.nc http://noresg.nird.sigma2.no/thredds/fileServer/esg_dataroot/cmor/CMIP6/ScenarioMIP/NCC/NorESM2-LM/ssp370/r1i1p1f1/Oyr/o2/gr/v20191108/o2_Oyr_NorESM2-LM_ssp370_r1i1p1f1_gr_2091-2100.nc SHA256 58141face93511ebc6075b7528a8fd8ff622d2f1ce2585e37c2cdc30f9b3f385
o2_Oyr_NorESM2-LM_ssp534-over_r1i1p1f1_gn_2100-2100.nc http://noresg.nird.sigma2.no/thredds/fileServer/esg_dataroot/cmor/CMIP6/ScenarioMIP/NCC/NorESM2-LM/ssp534-over/r1i1p1f1/Oyr/o2/gn/v20210811/o2_Oyr_NorESM2-LM_ssp534-over_r1i1p1f1_gn_2100-2100.nc SHA256 e71e9b2ea1cae35fb062ca9278d3d7c8ef415e36f0a1de638b588d97a8f5a1c4
o2_Oyr_NorESM2-LM_ssp534-over_r1i1p1f1_gr_2100-2100.nc http://noresg.nird.sigma2.no/thredds/fileServer/esg_dataroot/cmor/CMIP6/ScenarioMIP/NCC/NorESM2-LM/ssp534-over/r1i1p1f1/Oyr/o2/gr/v20210811/o2_Oyr_NorESM2-LM_ssp534-over_r1i1p1f1_gr_2100-2100.nc SHA256 88642f6b6b17e2819ddb1d88aee2a8ed9180231023ff2e20b4828913321878ec
o2_Oyr_NorESM2-LM_ssp585_r1i1p1f1_gn_2091-2100.nc http://noresg.nird.sigma2.no/thredds/fileServer/esg_dataroot/cmor/CMIP6/ScenarioMIP/NCC/NorESM2-LM/ssp585/r1i1p1f1/Oyr/o2/gn/v20191108/o2_Oyr_NorESM2-LM_ssp585_r1i1p1f1_gn_2091-2100.nc SHA256 49be82365b4b98fb657fbdf599091121ac9c99167864736144bacbf52ec0addb
o2_Oyr_NorESM2-LM_ssp585_r1i1p1f1_gr_2091-2100.nc http://noresg.nird.sigma2.no/thredds/fileServer/esg_dataroot/cmor/CMIP6/ScenarioMIP/NCC/NorESM2-LM/ssp585/r1i1p1f1/Oyr/o2/gr/v20191108/o2_Oyr_NorESM2-LM_ssp585_r1i1p1f1_gr_2091-2100.nc SHA256 f319cd451ed77f0256f4ab7522b63326abfc223947cd471e8cac345a96b8c73e
o2_Oyr_NorESM2-MM_ssp126_r1i1p1f1_gn_2091-2100.nc http://noresg.nird.sigma2.no/thredds/fileServer/esg_dataroot/cmor/CMIP6/ScenarioMIP/NCC/NorESM2-MM/ssp126/r1i1p1f1/Oyr/o2/gn/v20191108/o2_Oyr_NorESM2-MM_ssp126_r1i1p1f1_gn_2091-2100.nc SHA256 74c354d2f777e6a9062f547e8718760a0d03cd3ab98a4d1076c73b9a55fe99b6
o2_Oyr_NorESM2-MM_ssp126_r1i1p1f1_gr_2091-2100.nc http://noresg.nird.sigma2.no/thredds/fileServer/esg_dataroot/cmor/CMIP6/ScenarioMIP/NCC/NorESM2-MM/ssp126/r1i1p1f1/Oyr/o2/gr/v20191108/o2_Oyr_NorESM2-MM_ssp126_r1i1p1f1_gr_2091-2100.nc SHA256 70375c728ae16f7939c2303a3abe1dd1958ecad2c754fa149a3325be810c38d7
