V1 V2 V3 V4
chl_Oyr_CanESM5_ssp585_r1i1p1f1_gn_2015-2100.nc http://crd-esgf-drc.ec.gc.ca/thredds/fileServer/esgD_dataroot/AR6/CMIP6/ScenarioMIP/CCCma/CanESM5/ssp585/r1i1p1f1/Oyr/chl/gn/v20190429/chl_Oyr_CanESM5_ssp585_r1i1p1f1_gn_2015-2100.nc SHA256 4c33e851055728551eb965ed9c36a2a7898a47371b31ceddb0071b1a2d28a2f1
chl_Oyr_CMCC-ESM2_ssp126_r1i1p1f1_gn_2015-2100.nc http://esgf-node2.cmcc.it/thredds/fileServer/esg_dataroot/CMIP6/ScenarioMIP/CMCC/CMCC-ESM2/ssp126/r1i1p1f1/Oyr/chl/gn/v20210126/chl_Oyr_CMCC-ESM2_ssp126_r1i1p1f1_gn_2015-2100.nc SHA256 251d7f01b73ecbd107ab896fb6824eef412e3d861becab61e6f46bb6b7a439d0
chl_Oyr_CMCC-ESM2_ssp245_r1i1p1f1_gn_2015-2100.nc http://esgf-node2.cmcc.it/thredds/fileServer/esg_dataroot/CMIP6/ScenarioMIP/CMCC/CMCC-ESM2/ssp245/r1i1p1f1/Oyr/chl/gn/v20210129/chl_Oyr_CMCC-ESM2_ssp245_r1i1p1f1_gn_2015-2100.nc SHA256 876c18fc6d5d8b748400b5aa7f15a770cdba65ebd93db47184033c37dcdd3bd4
chl_Oyr_CMCC-ESM2_ssp370_r1i1p1f1_gn_2015-2100.nc http://esgf-node2.cmcc.it/thredds/fileServer/esg_dataroot/CMIP6/ScenarioMIP/CMCC/CMCC-ESM2/ssp370/r1i1p1f1/Oyr/chl/gn/v20210202/chl_Oyr_CMCC-ESM2_ssp370_r1i1p1f1_gn_2015-2100.nc SHA256 1d37ff1582203a2bc4099f39de02d7269a8eb675821e2881e9661eca79c8921b
chl_Oyr_CMCC-ESM2_ssp534-over_r1i1p1f1_gn_2015-2100.nc http://esgf-node2.cmcc.it/thredds/fileServer/esg_dataroot/CMIP6/ScenarioMIP/CMCC/CMCC-ESM2/ssp534-over/r1i1p1f1/Oyr/chl/gn/v20210409/chl_Oyr_CMCC-ESM2_ssp534-over_r1i1p1f1_gn_2015-2100.nc SHA256 b74969775125e9ae1b869e63245be96822369cb7905882ccb868211ad712f54a
chl_Oyr_CMCC-ESM2_ssp585_r1i1p1f1_gn_2015-2100.nc http://esgf-node2.cmcc.it/thredds/fileServer/esg_dataroot/CMIP6/ScenarioMIP/CMCC/CMCC-ESM2/ssp585/r1i1p1f1/Oyr/chl/gn/v20210126/chl_Oyr_CMCC-ESM2_ssp585_r1i1p1f1_gn_2015-2100.nc SHA256 0e17a4063e87e76521c057e816d54c8fffb37fd0bbdcd070a7f8647b71dd78f6
chl_Oyr_EC-Earth3-CC_ssp245_r1i1p1f1_gn_2100-2100.nc http://esgf.bsc.es/thredds/fileServer/esg_dataroot/a3dn-ScenarioMIP-r1/CMIP6/ScenarioMIP/EC-Earth-Consortium/EC-Earth3-CC/ssp245/r1i1p1f1/Oyr/chl/gn/v20210113/chl_Oyr_EC-Earth3-CC_ssp245_r1i1p1f1_gn_2100-2100.nc SHA256 420590ed8c4a770fde6b72eeb5eee8521b4ebb77c64e2cfdc4a8c63a719d5edf
chl_Oyr_EC-Earth3-CC_ssp585_r1i1p1f1_gn_2100-2100.nc http://esgf.bsc.es/thredds/fileServer/esg_dataroot/a3dm-ScenarioMIP-r1/CMIP6/ScenarioMIP/EC-Earth-Consortium/EC-Earth3-CC/ssp585/r1i1p1f1/Oyr/chl/gn/v20210113/chl_Oyr_EC-Earth3-CC_ssp585_r1i1p1f1_gn_2100-2100.nc SHA256 d140a37651867c8d3250a0ad5a164f83e09dfa68707b2768dce32aec09e5435b
chl_Oyr_IPSL-CM6A-LR_ssp119_r1i1p1f1_gn_2015-2100.nc http://vesg.ipsl.upmc.fr/thredds/fileServer/cmip6/ScenarioMIP/IPSL/IPSL-CM6A-LR/ssp119/r1i1p1f1/Oyr/chl/gn/v20190410/chl_Oyr_IPSL-CM6A-LR_ssp119_r1i1p1f1_gn_2015-2100.nc SHA256 cea23b1997dd1a83630b0e7f668e139bb0b96b7dff5c2a299b34f531760a6dca
chl_Oyr_IPSL-CM6A-LR_ssp126_r1i1p1f1_gn_2015-2100.nc http://vesg.ipsl.upmc.fr/thredds/fileServer/cmip6/ScenarioMIP/IPSL/IPSL-CM6A-LR/ssp126/r1i1p1f1/Oyr/chl/gn/v20190903/chl_Oyr_IPSL-CM6A-LR_ssp126_r1i1p1f1_gn_2015-2100.nc SHA256 4c0a4bc5363a59a08ee7c234ff83f8d63c2d057ea13e7eecabd27b5cdfa879dd
chl_Oyr_IPSL-CM6A-LR_ssp245_r1i1p1f1_gn_2015-2100.nc http://vesg.ipsl.upmc.fr/thredds/fileServer/cmip6/ScenarioMIP/IPSL/IPSL-CM6A-LR/ssp245/r1i1p1f1/Oyr/chl/gn/v20190119/chl_Oyr_IPSL-CM6A-LR_ssp245_r1i1p1f1_gn_2015-2100.nc SHA256 e2b04d69c2a3c6de0c970ada172b9a040b0f7da12bb76adc02b6f27e85d1c47c
chl_Oyr_IPSL-CM6A-LR_ssp370_r1i1p1f1_gn_2015-2100.nc http://vesg.ipsl.upmc.fr/thredds/fileServer/cmip6/ScenarioMIP/IPSL/IPSL-CM6A-LR/ssp370/r1i1p1f1/Oyr/chl/gn/v20190119/chl_Oyr_IPSL-CM6A-LR_ssp370_r1i1p1f1_gn_2015-2100.nc SHA256 2d403584ce3f4022323ddc7fcdaf672d146f8b8d3db1682f5ebc44c61a1a7e37
chl_Oyr_IPSL-CM6A-LR_ssp434_r1i1p1f1_gn_2015-2100.nc http://vesg.ipsl.upmc.fr/thredds/fileServer/cmip6/ScenarioMIP/IPSL/IPSL-CM6A-LR/ssp434/r1i1p1f1/Oyr/chl/gn/v20190506/chl_Oyr_IPSL-CM6A-LR_ssp434_r1i1p1f1_gn_2015-2100.nc SHA256 2ca63c8b3ec2a1c148734b5ff1b0499585ed6c6bcb01dc21209e46412a708412
chl_Oyr_IPSL-CM6A-LR_ssp460_r1i1p1f1_gn_2015-2100.nc http://vesg.ipsl.upmc.fr/thredds/fileServer/cmip6/ScenarioMIP/IPSL/IPSL-CM6A-LR/ssp460/r1i1p1f1/Oyr/chl/gn/v20190506/chl_Oyr_IPSL-CM6A-LR_ssp460_r1i1p1f1_gn_2015-2100.nc SHA256 94f0e559e389410aee3df359a57b0f15aab4d3abfb15f225a90d849d5594ef54
chl_Oyr_IPSL-CM6A-LR_ssp534-over_r1i1p1f1_gn_2040-2100.nc http://vesg.ipsl.upmc.fr/thredds/fileServer/cmip6/ScenarioMIP/IPSL/IPSL-CM6A-LR/ssp534-over/r1i1p1f1/Oyr/chl/gn/v20190909/chl_Oyr_IPSL-CM6A-LR_ssp534-over_r1i1p1f1_gn_2040-2100.nc SHA256 d9cf75c86025530fa5296a330de1be8ae1b287fc1f68a03044df0df0585bff42
chl_Oyr_IPSL-CM6A-LR_ssp585_r1i1p1f1_gn_2015-2100.nc http://vesg.ipsl.upmc.fr/thredds/fileServer/cmip6/ScenarioMIP/IPSL/IPSL-CM6A-LR/ssp585/r1i1p1f1/Oyr/chl/gn/v20190903/chl_Oyr_IPSL-CM6A-LR_ssp585_r1i1p1f1_gn_2015-2100.nc SHA256 585a29eda3aec4da5479b453f282c61eba1365c5633ff87eab2a3ce043687489
chl_Oyr_CESM2-WACCM_ssp126_r1i1p1f1_gn_2015-2100.nc http://esgf-data.ucar.edu/thredds/fileServer/esg_dataroot/CMIP6/ScenarioMIP/NCAR/CESM2-WACCM/ssp126/r1i1p1f1/Oyr/chl/gn/v20210211/chl_Oyr_CESM2-WACCM_ssp126_r1i1p1f1_gn_2015-2100.nc SHA256 6ebe55601b2aaafbb74451a106cb82e8fe2617238a177090d097c92732d744f2
chl_Oyr_CESM2-WACCM_ssp245_r1i1p1f1_gn_2065-2100.nc http://esgf-data.ucar.edu/thredds/fileServer/esg_dataroot/CMIP6/ScenarioMIP/NCAR/CESM2-WACCM/ssp245/r1i1p1f1/Oyr/chl/gn/v20190815/chl_Oyr_CESM2-WACCM_ssp245_r1i1p1f1_gn_2065-2100.nc SHA256 9f9c896ba5a487a2dc285c9865a441f69928149703608a7da2c82f77e466b1de
chl_Oyr_CESM2-WACCM_ssp370_r1i1p1f1_gn_2065-2100.nc http://esgf-data.ucar.edu/thredds/fileServer/esg_dataroot/CMIP6/ScenarioMIP/NCAR/CESM2-WACCM/ssp370/r1i1p1f1/Oyr/chl/gn/v20190815/chl_Oyr_CESM2-WACCM_ssp370_r1i1p1f1_gn_2065-2100.nc SHA256 8d8e0db30878e472360c0dde2a9134e794a36906e74f80165e1bd78274dbd3d6
chl_Oyr_CESM2-WACCM_ssp534-over_r1i1p1f1_gn_2040-2100.nc http://esgf-data.ucar.edu/thredds/fileServer/esg_dataroot/CMIP6/ScenarioMIP/NCAR/CESM2-WACCM/ssp534-over/r1i1p1f1/Oyr/chl/gn/v20200701/chl_Oyr_CESM2-WACCM_ssp534-over_r1i1p1f1_gn_2040-2100.nc SHA256 8af7ea077effc3ab12e22743765a87eeeeb391e15040ef289963c8e9205907c6
chl_Oyr_CESM2-WACCM_ssp585_r1i1p1f1_gn_2015-2100.nc http://esgf-data.ucar.edu/thredds/fileServer/esg_dataroot/CMIP6/ScenarioMIP/NCAR/CESM2-WACCM/ssp585/r1i1p1f1/Oyr/chl/gn/v20190815/chl_Oyr_CESM2-WACCM_ssp585_r1i1p1f1_gn_2015-2100.nc SHA256 f70e9649909b5c97d44732cbf4b76694bc238d2c10ce87542f9aee52ff0405fa
